LISEM total flow and sed output file for point 138
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.089,0.115,0.000,0.000
0.0027778,15.200,14.893,0.685,1.271,0.000,0.000
0.0055556,15.200,37.998,2.597,3.336,0.000,0.000
0.0083333,11.300,70.538,6.241,3.452,0.000,0.000
0.0111111,11.300,127.229,12.837,12.030,0.000,0.000
0.0138889,11.300,229.580,22.926,10.921,0.000,0.000
0.0166667,10.200,400.530,34.419,32.714,0.000,0.000
0.0194444,10.200,671.845,44.814,34.385,0.000,0.000
0.0222222,0.000,966.902,47.518,68.394,0.000,0.000
0.0250000,0.000,1296.639,45.953,116.398,0.000,0.000
0.0277778,0.000,1614.718,42.039,115.746,0.000,0.000
0.0305556,0.000,1887.691,37.245,247.142,0.000,0.000
0.0333333,0.000,2101.249,32.450,208.815,0.000,0.000
0.0361111,0.000,2252.206,28.077,270.744,0.000,0.000
0.0388889,0.000,2345.141,24.270,334.169,0.000,0.000
0.0416667,0.000,2391.748,21.032,319.373,0.000,0.000
0.0444444,0.000,2405.598,18.308,378.998,0.000,0.000
0.0472222,0.000,2396.131,16.023,335.787,0.000,0.000
0.0500000,0.000,2367.283,14.106,414.809,0.000,0.000
0.0527778,0.000,2320.194,12.491,329.669,0.000,0.000
0.0555556,0.000,2256.331,11.124,384.398,0.000,0.000
0.0583333,0.000,2178.709,9.960,297.170,0.000,0.000
0.0611111,0.000,2091.400,8.964,382.833,0.000,0.000
0.0638889,0.000,1998.536,8.106,139.599,0.000,0.000
0.0666667,0.000,1903.597,7.362,373.225,0.000,0.000
0.0694444,0.000,1809.153,6.714,89.943,0.000,0.000
0.0722222,0.000,1716.904,6.147,445.709,0.000,0.000
0.0750000,0.000,1627.878,5.647,75.433,0.000,0.000
0.0777778,0.000,1542.632,5.205,395.804,0.000,0.000
0.0805556,0.000,1461.430,4.813,64.376,0.000,0.000
0.0833333,0.000,1384.369,4.462,361.203,0.000,0.000
0.0861111,0.000,1311.452,4.148,56.110,0.000,0.000
0.0888889,0.000,1242.630,3.866,324.044,0.000,0.000
0.0916667,0.000,1177.818,3.611,49.047,0.000,0.000
0.0944444,0.000,1116.905,3.380,279.100,0.000,0.000
0.0972222,0.000,1059.752,3.171,43.525,0.000,0.000
0.1000000,0.000,1006.200,2.980,244.698,0.000,0.000
0.1027778,0.000,956.071,2.806,38.822,0.000,0.000
0.1055556,0.000,909.178,2.646,216.144,0.000,0.000
0.1083333,0.000,865.323,2.500,34.339,0.000,0.000
0.1111111,0.000,824.311,2.365,187.345,0.000,0.000
0.1138889,0.000,785.947,2.240,37.786,0.000,0.000
0.1166667,0.000,750.044,2.126,162.025,0.000,0.000
0.1194444,0.000,716.423,2.019,33.767,0.000,0.000
0.1222222,0.000,684.916,1.920,122.650,0.000,0.000
0.1250000,0.000,655.364,1.829,33.418,0.000,0.000
0.1277778,0.000,627.622,1.743,78.976,0.000,0.000
0.1305556,0.000,601.555,1.664,78.906,0.000,0.000
0.1333333,0.000,577.036,1.589,71.917,0.000,0.000
0.1361111,0.000,553.953,1.520,70.127,0.000,0.000
0.1388889,0.000,532.199,1.454,66.305,0.000,0.000
0.1416667,0.000,511.678,1.393,60.802,0.000,0.000
0.1444444,0.000,492.303,1.336,61.684,0.000,0.000
0.1472222,0.000,473.991,1.282,50.845,0.000,0.000
0.1500000,0.000,456.669,1.231,57.432,0.000,0.000
0.1527778,0.000,440.268,1.183,44.526,0.000,0.000
0.1555556,0.000,424.726,1.138,53.808,0.000,0.000
0.1583333,0.000,409.986,1.095,38.978,0.000,0.000
0.1611111,0.000,395.995,1.055,50.528,0.000,0.000
0.1638889,0.000,382.703,1.016,33.025,0.000,0.000
0.1666667,0.000,370.067,0.980,47.462,0.000,0.000
0.1694444,0.000,358.044,0.946,29.491,0.000,0.000
0.1722222,0.000,346.596,0.913,43.687,0.000,0.000
0.1750000,0.000,335.687,0.882,27.290,0.000,0.000
0.1777778,0.000,325.286,0.852,38.230,0.000,0.000
0.1805556,0.000,315.361,0.824,27.862,0.000,0.000
0.1833333,0.000,305.885,0.798,36.224,0.000,0.000
0.1861111,0.000,296.830,0.772,25.389,0.000,0.000
0.1888889,0.000,288.173,0.748,33.994,0.000,0.000
0.1916667,0.000,279.890,0.725,20.798,0.000,0.000
0.1944444,0.000,271.962,0.702,31.926,0.000,0.000
0.1972222,0.000,264.368,0.681,17.748,0.000,0.000
0.2000000,0.000,257.089,0.661,30.060,0.000,0.000
0.2027778,0.000,250.109,0.642,16.046,0.000,0.000
0.2055556,0.000,243.411,0.623,28.393,0.000,0.000
0.2083333,0.000,236.981,0.605,14.451,0.000,0.000
0.2111111,0.000,230.804,0.588,26.966,0.000,0.000
0.2138889,0.000,224.868,0.572,12.386,0.000,0.000
0.2166667,0.000,219.160,0.556,25.774,0.000,0.000
0.2194444,0.000,213.668,0.541,7.160,0.000,0.000
0.2222222,0.000,208.383,0.526,28.585,0.000,0.000
0.2250000,0.000,203.293,0.512,6.837,0.000,0.000
0.2277778,0.000,198.389,0.499,26.904,0.000,0.000
0.2305556,0.000,193.662,0.486,5.845,0.000,0.000
0.2333333,0.000,189.104,0.474,25.365,0.000,0.000
0.2361111,0.000,184.706,0.462,5.562,0.000,0.000
0.2388889,0.000,180.462,0.450,23.936,0.000,0.000
0.2416667,0.000,176.364,0.439,5.285,0.000,0.000
0.2444444,0.000,172.405,0.428,22.604,0.000,0.000
0.2472222,0.000,168.580,0.418,5.023,0.000,0.000
0.2500000,0.000,164.882,0.408,20.804,0.000,0.000
0.2527778,0.000,161.306,0.398,4.777,0.000,0.000
0.2555556,0.000,157.846,0.389,19.660,0.000,0.000
0.2583333,0.000,154.497,0.380,4.424,0.000,0.000
0.2611111,0.000,151.255,0.371,18.581,0.000,0.000
0.2638889,0.000,148.115,0.363,4.208,0.000,0.000
0.2666667,0.000,145.073,0.355,17.626,0.000,0.000
0.2694444,0.000,142.125,0.347,4.003,0.000,0.000
0.2722222,0.000,139.267,0.339,16.793,0.000,0.000
0.2750000,0.000,136.495,0.332,3.793,0.000,0.000
0.2777778,0.000,133.806,0.325,16.031,0.000,0.000
0.2805556,0.000,131.196,0.318,3.666,0.000,0.000
0.2833333,0.000,128.663,0.311,15.376,0.000,0.000
0.2861111,0.000,126.203,0.304,3.546,0.000,0.000
0.2888889,0.000,123.814,0.298,14.754,0.000,0.000
0.2916667,0.000,121.493,0.292,3.431,0.000,0.000
0.2944444,0.000,119.237,0.286,14.166,0.000,0.000
0.2972222,0.000,117.045,0.280,3.322,0.000,0.000
0.3000000,0.000,114.912,0.275,13.611,0.000,0.000
0.3027778,0.000,112.838,0.269,3.218,0.000,0.000
0.3055556,0.000,110.820,0.264,13.061,0.000,0.000
0.3083333,0.000,108.857,0.259,3.119,0.000,0.000
0.3111111,0.000,106.946,0.254,12.506,0.000,0.000
0.3138889,0.000,105.085,0.249,3.024,0.000,0.000
0.3166667,0.000,103.273,0.244,11.514,0.000,0.000
0.3194444,0.000,101.507,0.239,2.933,0.000,0.000
0.3222222,0.000,99.787,0.235,11.017,0.000,0.000
0.3250000,0.000,98.111,0.231,2.847,0.000,0.000
0.3277778,0.000,96.477,0.226,10.563,0.000,0.000
0.3305556,0.000,94.884,0.222,2.485,0.000,0.000
0.3333333,0.000,93.331,0.218,9.483,0.000,0.000
0.3361111,0.000,91.815,0.214,2.319,0.000,0.000
0.3388889,0.000,90.337,0.211,8.627,0.000,0.000
0.3416667,0.000,88.894,0.207,2.252,0.000,0.000
0.3444444,0.000,87.486,0.203,8.063,0.000,0.000
0.3472222,0.000,86.111,0.200,2.189,0.000,0.000
0.3500000,0.000,84.769,0.196,6.558,0.000,0.000
0.3527778,0.000,83.459,0.193,2.128,0.000,0.000
0.3555556,0.000,82.178,0.190,6.270,0.000,0.000
0.3583333,0.000,80.927,0.186,1.851,0.000,0.000
0.3611111,0.000,79.705,0.183,5.992,0.000,0.000
0.3638889,0.000,78.511,0.180,1.801,0.000,0.000
0.3666667,0.000,77.343,0.177,5.765,0.000,0.000
0.3694444,0.000,76.201,0.174,1.754,0.000,0.000
0.3722222,0.000,75.085,0.171,5.547,0.000,0.000
0.3750000,0.000,73.993,0.169,1.708,0.000,0.000
0.3777778,0.000,72.926,0.166,5.330,0.000,0.000
0.3805556,0.000,71.881,0.163,1.665,0.000,0.000
0.3833333,0.000,70.858,0.161,5.124,0.000,0.000
0.3861111,0.000,69.858,0.158,1.622,0.000,0.000
0.3888889,0.000,68.879,0.156,4.927,0.000,0.000
0.3916667,0.000,67.920,0.153,1.581,0.000,0.000
0.3944444,0.000,66.981,0.151,4.738,0.000,0.000
0.3972222,0.000,66.062,0.149,1.542,0.000,0.000
0.4000000,0.000,65.162,0.146,4.558,0.000,0.000
0.4027778,0.000,64.280,0.144,1.504,0.000,0.000
0.4055556,0.000,63.416,0.142,4.386,0.000,0.000
0.4083333,0.000,62.569,0.140,1.217,0.000,0.000
0.4111111,0.000,61.739,0.138,4.220,0.000,0.000
0.4138889,0.000,60.926,0.136,1.188,0.000,0.000
0.4166667,0.000,60.129,0.134,4.062,0.000,0.000
0.4194444,0.000,59.348,0.132,0.673,0.000,0.000
0.4222222,0.000,58.581,0.130,3.912,0.000,0.000
0.4250000,0.000,57.830,0.128,0.656,0.000,0.000
0.4277778,0.000,57.093,0.126,3.772,0.000,0.000
0.4305556,0.000,56.370,0.124,0.639,0.000,0.000
0.4333333,0.000,55.661,0.123,3.642,0.000,0.000
0.4361111,0.000,54.965,0.121,0.623,0.000,0.000
0.4388889,0.000,54.283,0.119,3.517,0.000,0.000
0.4416667,0.000,53.612,0.118,0.608,0.000,0.000
0.4444444,0.000,52.955,0.116,3.397,0.000,0.000
0.4472222,0.000,52.309,0.114,0.593,0.000,0.000
0.4500000,0.000,51.675,0.113,3.280,0.000,0.000
0.4527778,0.000,51.053,0.111,0.578,0.000,0.000
0.4555556,0.000,50.442,0.110,3.172,0.000,0.000
0.4583333,0.000,49.842,0.108,0.564,0.000,0.000
0.4611111,0.000,49.253,0.107,3.072,0.000,0.000
0.4638889,0.000,48.674,0.106,0.550,0.000,0.000
0.4666667,0.000,48.105,0.104,2.976,0.000,0.000
0.4694444,0.000,47.546,0.103,0.537,0.000,0.000
0.4722222,0.000,46.997,0.101,2.883,0.000,0.000
0.4750000,0.000,46.457,0.100,0.525,0.000,0.000
0.4777778,0.000,45.927,0.099,2.792,0.000,0.000
0.4805556,0.000,45.406,0.098,0.512,0.000,0.000
0.4833333,0.000,44.893,0.096,2.709,0.000,0.000
0.4861111,0.000,44.390,0.095,0.493,0.000,0.000
0.4888889,0.000,43.894,0.094,2.626,0.000,0.000
0.4916667,0.000,43.407,0.093,0.482,0.000,0.000
0.4944444,0.000,42.928,0.092,2.547,0.000,0.000
0.4972222,0.000,42.457,0.091,0.471,0.000,0.000
